Title,Authors,Publication year,Data,Collection Year,Approach,Approach group,Abstract, keyworsd,Subcategories,Category (section), demographic,Research demographic
Honeybee Re-identification in Video: New Datasets and Impact of Self-supervision,Chan et al.,2022,Video,2021,CNN + Contrastive Learning (Triplet Loss) + self-supervised pre-training. Re-identifies bees by abdomen appearance across video frames. New annotated dataset released. Self-supervision significantly improves re-ID accuracy vs fully supervised baselines.,Hybrid / Multi-Model,"This paper presents an experimental study of long-term re-identification of honeybees from the appearance of
their abdomen in videos. The first contribution is composed of two image datasets of single honeybees extracted from 12 days of video and annotated with information about their identity on long-term and short-term
scales. The long-term dataset contains 8,962 images associated to 181 known identities and used to evaluate
the long-term re-identification of individuals. The short-term dataset contains 109,654 images associated to
4,949 short-term tracks that provide multiple views of an individual suitable for self-supervised training. A
deep convolutional network was trained to map an image of the honeybee’s abdomen to a 128 dimensional feature vector using several approaches. Re-identification was evaluated in test setups that capture different levels
of difficulty: from the same hour to a different day. The results show using the short-term self-supervised information for training performed better than the supervised long-term dataset, with best performance achieved
by using both. Ablation studies show the impact of the quantity of data used in training as well as the impact
of augmentation, which will guide the design of future systems for individual identification.",,Tracking & Pose Estimation,Individual Tracking & Re-identification — Contrastive Self-Supervised Re-identification,PuertoRico (Lab),Puerto Rico
Identify the Beehive Sound Using Deep Learning,Quaderi et al.,2022,Audio,2015,"Feature extraction: MFCC, Mel spectrogram, Chroma → Sequential NN, CNN, RNN (deep learning) + SVM, RF, Naive Bayes, Decision Tree (classical ML) — comprehensive comparison of 7 model families. Binary: beehive vs non-beehive sound.",Hybrid / Multi-Model,"Flowers play an essential role in removing the duller from the environment. The life cycle of the flowering
plants involves pollination, fertilization, flowering, seed- formation, dispersion, and germination.
Honeybees pollinate approximately 75% of all flowering plants. Environmental pollution, climate change,
natural landscape demolition, and so on, threaten the natural habitats, thus continuously reducing the
number of honeybees. As a result, several researchers are attempting to resolve this issue. Applying
acoustic classification to recordings of beehive sounds may be a way of detecting changes within them. In
this research, we use deep learning techniques, namely Sequential Neural Network, Convolutional Neural
Network, and Recurrent Neural Network, on the recorded sounds to classify bee sounds from the nonbeehive noises. In addition, we perform a comparative study among some popular non-deep learning
techniques, namely Support Vector Machine, Decision Tree, Random Forest, and Naïve Bayes, with the
deep learning techniques. The techniques are also verified on the combined recorded sounds (25-75%
noises)",,Classification,Colony Health & Acoustic Monitoring — Beehive vs Non-Beehive Sound Classification,"America, Europe, Australia (OSBH, NU-Hive)",Bangladesh
Image Recognition Using Convolutional Neural Networks for Classification of Honey Bee Subspecies,Wang et al.,2022,Image,over the past 40 years,"Custom CNN trained on whole-body bee images for subspecies classification. Compared against classical morphometric methods. Multiple subspecies including carnica, ligustica, caucasica.",CNN & Variants,"Four models based on convolutional neural networks were used to investigate whether image recognition techniques applied to honey bee wings could be used to discriminate among honey bee subspecies. A dataset consisting of 9887 wing images belonging to 7 subspecies and one hybrid was analysed with ResNet 50, MobileNet V2, Inception Net V3, and Inception ResNet V2. Accuracy values of classification of individual wings were over 0.92, and all models outperformed traditional morphometric evaluation. The Inception models achieved the highest accuracies and higher scores of precision and recall for most classes. When wing images were grouped by colony, almost all wings in the colony samples were labelled with the same class. We conclude that automatic image recognition and machine learning applied to honey bee wings can reliably discriminate among the European subspecies and could thus represent a useful tool for fast classification of honey bee subspecies for breeding and conservation aims.",honeybees and artificial intelligence,Classification,Species & Subspecies Classification — CNN Subspecies Classification from Bee Images,Italy and other European countries,Italy
MFCC-Based Descriptor for Bee Queen Presence Detection,Soares et al.,2022,Audio,2018,Novel MFCC-based feature descriptor specifically engineered for queen presence detection. RF and SVM classifiers compared. Extensive evaluation on multiple hive datasets. Focuses on descriptor design rather than model complexity.,Classical ML,"Monitoring and detecting hive health are essential for the development of ecosystem conservation strategies and sustainable beekeeping. The absence of the queen bee is a warning signal and indicates an anomalous situation. The literature contains promising machine learning and deep learning techniques for detecting the presence of the queen bee through the spectral temporal analysis of hive sounds. Despite works that consider handcrafted and deep features to describe the problem, there is a lack of feature selection to evaluate which descriptors could better discriminate the presence/absence of queen bee. Additionally, deep learning techniques lead to high-dimension descriptors and a high computational cost. In this context, we explore feature extraction and selection techniques to obtain efficient and compact descriptors that can perform classification in a real-time monitoring scenario. The results reveal that combining cepstral, time, and frequency features achieve 0.99 for accuracy, kappa, area under curve, specificity, and sensibility metrics, outperforming most state-of-the-art models for queen bee presence classification, including convolution neural network models. The feature selection step notably reduces the descriptor size and maintains classification performance. The 15 and 31 mel-frequency cepstrum coefficients descriptors have a low dimension and are based on only one feature, which reduces the number of calculation and library dependencies. Given this, we believe that our findings can support deployment in low-computational devices for non-intrusive and real-time hive health diagnoses.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — MFCC Queen Presence Detection (RF/SVM),UK (NU-Hive),Brazil
A Deep Learning-Based Approach for Bee Sound Identification,Truong et al.,2023,Audio,2018,"Mel spectrogram features → CNN + GRU (Mel-CNN-GRU hybrid). Three-class classification: bee buzzing, cricket chirping, ambient noise. Outperforms prior CNN-only baselines. PyTorch implementation.",Hybrid / Multi-Model,"Bee buzzing carries a lot of information about colony behavior. These sounds can provide beekeepers with insights into various stressed situations in the colony such as the absence of a queen, swarming, and the appearance
of predatory mites and airborne toxins. As a result, bee sounds are an important source for humans to understand
more about bee’s status, activities, and behaviors. That grows the interest in applying machine learning and deep
learning techniques to monitor beehives based on their buzzing sounds in recent years worldwide. In this study,
we present a novel deep learning method that combines the Convolutional Neural Network (CNN) and the Gated
Recurrent Unit (GRU) for bee sound identification. The Mel Spectrogram and the Bayesian Optimization are also
employed to enhance the performance of the learning model. The experiments are conducted based on three real
data sets. The obtained results show that our proposed method outperforms the existing models in recognizing
bee buzzing sounds from noise and cricket sound by 1% in terms of accuracy.",,Classification,Colony Health & Acoustic Monitoring — Multi-Class Bee Sound Identification,USA,Vietnam
A Novel Convolutional Neural Network Architecture for Pollen-Bearing Honeybee Recognition,Le et al.,2023,Image,2018,Custom novel CNN architecture designed specifically for pollen-bearing bee classification. Transfer learning baseline comparisons. Input: entrance-camera images. Addresses class imbalance in pollen vs non-pollen samples.,CNN & Variants,"Abstract: Monitoring the pollen foraging behavior of honey-bees is an important task that is beneficial to beekeepers, allowing them to understand the health status of their honeybee colonies. To perform this task, monitoring systems should have the ability to automatically recognize images of pollen-bearing honeybees extracted from videos recorded at the beehive entrance. In this paper, a novel convolutional neural network architecture is proposed for recognizing pollen-bearing and non-pollen-bearing honeybees from their images. The performance of the proposed model is illustrated based on a real dataset and the obtained results show that it performs better than some other state-of-the-art deep learning architectures like VGG16, VGG19, or Resnet50 in terms of both accuracy and execution time. Thus, the proposed model can be considered an effective algorithm for designing automatic honeybee colony monitoring systems",,Classification,Pollen & Foraging Monitoring — Novel CNN Architecture for Pollen-Bearer Recognition,PuertoRico (PollenDataset),Vietnam
Dynamic Noise Filtering for Multi-Class Classification of Beehive Audio Data,"Várkonyi, Seixas Junior & Horváth",2023,Audio,2021,"DANi (Dynamic Audio Noise Filtration): per-time-slice z-score normalisation + negative thresholding + lowest-k DTFT component retention (~50%) + re-thresholding. STFT/MFCC/Chroma features + CNN and LSTM classifiers. 5-10 fold CV. Best: STFT+DANi+CNN ~90-92% accuracy for 10-hive multi-class ID. Dataset: 10,000 × 8.2s PCM clips from 10 hives.",Hybrid / Multi-Model,"Honeybees are the most specialized insect pollinators and are critical not only for honey production but, also, for keeping the environmental balance by pollinating the flowers of a wide variety of crops. Recording and analyzing bee sounds became a fundamental part of recent initiatives in the development of so-called smart hives. The majority of researches on beehive sound analytics are focusing on swarming detection, a relatively simple binary classification task (due to the obvious difference in the sound of a swarming and a non-swarming bee colony) where machine learning models achieve good performance even when trained on small data. However, in the case of more complex tasks of beehive sound analytics, even modern machine learning approaches perform poorly. First, training such models would need a large dataset but, according to our knowledge, there is no publicly available large-scale beehive audio data. Second, due to the specifics of beehive sounds, efficient noise filtering methods would be required, however, we could not find a noise filtering method that would increase the performance of machine learning models substantially. In this paper, we propose a dynamic noise filtering method applicable on spectrograms (image representations of audio data) which is superior to the most popular image noise filtering baselines. Further, we introduce a multi-class classification task of bee sounds and a large-scale dataset consisting of 10.000 beehive audio recordings. Finally, we provide the results of a large-scale experiment involving various combinations of audio feature extraction and noise filtering methods together with various deep learning models. We believe that the contributions of this paper will facilitate further research in the area of (beehive) sound analytics.",honeybees and artificial intelligence,Classification,Colony Health & Acoustic Monitoring — Multi-Class Hive Audio Classification with DANi Noise Filter,China,China
Evaluating Audio Feature Extraction Methods for Identifying Bee Queen Presence,Ho et al.,2023,Audio,2022,"Five classical ML classifiers compared: KNN, SVM, Logistic Regression, RF, Extra Trees. Feature sets evaluated: MFCC, Chroma, spectral centroid/bandwidth/rolloff, ZCR, RMS. Systematic benchmark on NU-Hive dataset. Best: Extra Trees + MFCC combination.",Classical ML,"Beehive monitoring is an essential task for beekeepers to keep
under surveillance the health and productivity of their beehives.
Traditional monitoring methods, such as visual inspection, are
labor-intensive, time-consuming, and have negative effects on bee
colonies. Recently, machine learning (ML) algorithms have emerged
as a powerful tool for automated monitoring beehives using bee
sounds. To apply the ML methods, the first main step is to extract
important features from the original audio data. In this study, we
examine the performance of various ML algorithms using six different audio feature extraction methods. Experiments have been conducted on an audio dataset collected in Vietnam when the queen bee
is present or absent. The experiment results indicate that the audiobased approach can effectively monitor beehives and by choosing
the suitable feature extraction technique the performance of the
ML methods for detecting the absence of the bee queen can be
improved significantly.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Audio Feature Benchmark for Queen Presence Detection,Vietnam,Vietnam
Genetic Programming for Bee Audio Classification,Nguyen et al.,2023,Audio,2017,Genetic Programming (GP): automatically evolves mathematical feature-extraction programs from raw audio. Novel: GP generates interpretable symbolic features rather than using predefined MFCC/spectrogram representations. Binary: bee vs no-bee sound classification.,Domain Specific / Specialized,"Honey bees (Apis mellifera) play a very important role in agriculture
thanks to their ability of plants’ pollination. However, the number
of honey bees decreases every year because of the effects of climate
change, environmental pollution, and so on. As a result, finding a
useful solution to this problem has been more and more attracting
scientists and companies. Applying machine learning (ML) methods based on audio data recording inside the hive is a promising
solution to detect changes in the beehive. In this study, we investigate the genetic programming (GP) method, one of the powerful
ML methods, for identifying bee sound data. We also compare our
proposal with the results from a previous study. The experiment
results show that with the right configuration of parameters, GP
can achieve better results than well-known methods for the task of
classifying bee sound samples.",,Classification,Colony Health & Acoustic Monitoring — Genetic Programming for Bee vs Non-Bee Sound,Vietnam,Vietnam
Honey Bees Find the Shortest Path: A Collective Flow-Mediated Approach,Nguyen et al.,2023,Video,2023,Adaptive Otsu thresholding + morphological operations (bee detection from aerial 4K video) → two ResNet-18 CNNs: (1) scenting vs non-scenting classifier (95.17%); (2) orientation predictor with angular loss (96.71% within 15°). Tikhonov-regularized reconstruction of pheromone attractive surfaces.,CNN & Variants,"Honey bees (Apis mellifera L.) are social insects that makes frequent use of volatile pheromone signals to collectively navigate unpredictable and unknown environments. Ants have been shown to effectively use pheromone trails to find the shortest path between two points, the nest and the food source. The ant pheromone trails are accomplished by depositing pheromones which are then diffused passively, creating isotropic (i.e., non-directional and axi-symmetric) signals. In this study, we report the first instance of the honey bees’ ability to solve the shortest path problem to localize the queen and aggregate around her by using a collective flow-mediated scenting strategy. In this strategy, individual bees not only emit pheromones but also fan their wings to actively direct the flow of the signals, providing colony members with directional messages to the queen’s location. We use computer vision and deep learning approaches to perform automatic and accurate image analysis. As a result, we quantify the number of bees in the short and long paths, and show that the short path is frequented by significantly more bees over time. We also reconstruct attractive surfaces using the positions and directions of scenting bees, and show that this surface is more “attractive” along the short path and around the queen as scenting bees send out directional messages and the swarm makes their way to the queen. Overall, we show that honey bees can effectively use the collective scenting behavior to overcome local and volatile pheromone communication and find the shortest path to the queen.",neural network honeybees,Detection,Waggle Dance & Social Behaviour — Collective Pheromone-Guided Navigation and Path Selection,-,USA
Identifying Queenlessness in Honeybee Hives from Audio Signals Using Machine Learning,Ruvinga et al.,2023,Audio,2022,MFCC feature extraction → CNN classifier. Binary: queenless vs normal (queenright). Evaluated on publicly available NU-Hive and OSBH datasets. Systematic comparison of preprocessing choices.,CNN & Variants,"Honeybees are vital to both the agricultural industry and the wider ecological system, most importantly for their role as major pollinators of flowering plants, many of which are food crops. Honeybee colonies are dependent on having a healthy queen for their long-term survival since the queen bee is the only reproductive female in the colony. Thus, as the death or loss of the queen is of great negative impact for the well-being of a honeybee colony, beekeepers need to be aware if a queen has died in any of their hives so that appropriate remedial action can be taken. In this paper, we describe our approaches to using acoustic signals recorded in beehives and machine learning algorithms to identify whether beehives do or do not contain a healthy queen. Our results are extremely positive and should help beekeepers decide whether intervention is needed to preserve the colony in each of their hives.",neural network honeybees,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Monitoring and Predictive Health Analytics,-,United kingdom
"IntelliBeeHive: An Automated Honey Bee, Pollen, and Varroa Destructor Monitoring System",Narcia-Macias et al.,2023,Video,2023,"YOLOv7-tiny: single object detector trained simultaneously on three detection tasks: (1) bee activity counting, (2) pollen-foraging detection, (3) Varroa destructor presence. Cost-effective system targeting resource-limited beekeeping environments.",Object Detection / Segmentation,"Utilizing computer vision and the latest technological advancements, in this study, we developed a honey bee moni-toring system that aims to enhance our understanding of Colony Collapse Disorder, honey bee behavior, population decline, and overall hive health. The system is positioned at the hive entrance providing real-time data, enabling beekeepers to closely monitor the hive's activity and health through an account-based website. Using machine learning, our monitoring system can accurately track honey bees, monitor pollen-gathering activity, and detect Varroa mites, all without causing any disruption to the honey bees. Moreover, we have ensured that the development of this monitoring system utilizes cost-effective technology, making it accessible to apiaries of various scales, including hobbyists, com-mercial beekeeping businesses, and researchers. The inference models used to detect honey bees, pollen, and mites are based on the YOLOv7-tiny architecture trained with our data. The F1-score for honey bee model recognition is 0.95 and the precision and recall value is 0.981. For our pollen and mite object detection model F1-score is 0.95 and the precision and recall value is 0.821 for pollen. The overall performance of our IntelliBeeHive system demonstrates its effectiveness in monitoring the honey bee's activity, achieving an accuracy of 96.28 percent in tracking and our pollen model achieved a F1-score of 0.831.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Unified Multi-Task Monitoring (Bees + Pollen + Varroa),USA (Lab),USA
Machine Learning Framework for the Acoustic Detection of Queen Bee Presence,Barbisan et al.,2023,Audio,2023,Feature extraction (spectral + temporal acoustic features) → SVM + shallow NN compared. Part of continuous non-invasive hive monitoring framework. Evaluated at Forum Acusticum 2023.,Hybrid / Multi-Model,"Honeybees are one of the most important pollinators in nature for both crop production and biodiversity preservation. The increase in bee mortality observed in the last decade motivated the development of continuous monitoring systems to better understand this phenomenon. Different solutions have been presented in the literature, and particularly sound analysis appears the most promising among the non-invasive techniques. In this context, we developed a machine learning framework for the analysis of the sound produced by bees for the detection of the queen bee’s presence. The presence of the queen is an important indicator of the colony’s health. In this work, we investigated Short Time Fourier Transform and Mel Frequency Cepstral Coefficient audio features with support vector machines and neural network classifiers. The results indicate the potential of machine learning methods for supporting the researchers’ study and beekeepers in managing such important insects.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — SVM/NN Framework for Queen Presence from Audio,-,Italy
Pollinators as Data Collectors: Estimating Floral Diversity with Bees and Computer Vision,"Tausch, Wagner & Klaus",2023,Image,2022,U-Net (pollen pellet segmentation from entrance camera images) + HDBSCAN (density-based clustering of pollen color groups) + linear regression (R² evaluation vs laboratory analysis). Non-invasive alternative to invasive pollen traps.,Hybrid / Multi-Model,"This paper presents a bee-based environment monitoring system that uses pollen color analysis to estimate floral diversity. The study focuses on non-invasively assessing
pollinator habitat quality using computer vision technology
on honey bee hives. By strategically placing cameras at
the beehive entrance, the system captures pollen color samples without disrupting the bees’ natural foraging behavior.
The collected pollen color data is analyzed using computer
vision techniques, including pollen color classification and
diversity assessment. The feasibility of the approach is evaluated through comparisons with laboratory analysis results
and an appliance for capturing pollen color under ideal
conditions. The study also includes the creation of a dataset
for further research and advancements in the field of floral
diversity estimation. The findings demonstrate the potential
of using bees and computer vision technology for monitoring and understanding pollinator habitat quality",,Monitoring and Predictive Health Analytics,Pollen & Foraging Monitoring — Pollen Color Analysis for Floral Diversity Estimation,Germany,Germany
Recognizing Beehives' Health Abnormalities Based on MobileNet Deep Learning Model,Torky et al.,2023,Image,2019,"MobileNet (transfer learning) fine-tuned for multi-class bee health classification: healthy, Varroa, hive beetle, ant intrusion, robbery, missing queen. Real-world image dataset. Emphasis on lightweight deployment for field use.",CNN & Variants,"Monitoring beehive health is a major area of interest within the field of honeybee economy. Ensuring beehives are free of problems such as Varroa destructors and hive beetles, ant problems, and missing queen represents an important challenge in the honeybee industry. Therefore, it is mandatory to have untraditional ways to diagnose these types of honeybee attacks. Artificial Intelligence (AI), computer vision, and the Internet of Things (IoT) can be integrated to develop smart systems for developing warning, prediction, and recognition systems to analyze beehives' health impacts, and conditions as well as monitor bees' behaviors and the environmental conditions inside/outside beehives. In this paper, a deep learning methodology is proposed to recognize the beehives' health abnormalities, Varroa destructors, hive beetles, ant problems, and missing queens. A novel version of the MobileNet model is developed by modifying the front layers of the mobile net model for performing the features selection phase. Three optimization algorithms are utilized and tested on a benchmark dataset of beehives, Adam optimizer, Nesterov-accelerated Adam (Nadam) optimizer, and Stochastic gradient descent (SGD) for selecting the most important features to recognize the three beehive health abnormalities. The implementation and validation results proved the efficiency of the Mobile Net using Adam optimizer in classifying beehives according to the three beehive health abnormalities (Varroa destructor and hive beetles, ant problems, and missing queen) where the model achieved testing accuracy of 95% and testing loss of 35%. In addition, the validation and comparison results confirmed the superiority of Mobile Net using ADAM optimizer in recognizing beehive health abnormalities compared to four deep learning models, Shuffle Net, Resent 50, VGG-19, and Google Net.",,Monitoring and Predictive Health Analytics,Varroa & Disease Detection — Monitoring and Predictive Health Analytics,-,Egypt
Semi-Automatic Analysis of Cells in Honeybee Comb Images,"Rathore, Tyagi & Agrawal",2023,Image,2023,"Classical pre-processing (adaptive thresholding, morphological operations) + lightweight CNN (cell classifier: honey / brood / pollen / empty). Semi-automatic: human provides initial seed, CNN extends annotation. Minimises manual effort for comb analysis.",CNN & Variants,"Our environment depends on honeybees. In the face of global honey bee decline, colony strength assessment can help apiary management and provide valuable research data. Counting honey, brood, pollen, larvae, and bee cells manually and classifying them based on visual judgement and estimation is time-consuming, error-prone, and requires a qualified inspector. Digital image processing and AI developed automated and semi-automatic solutions to make this arduous job easier. Prior to classification of cells, it is necessary to detect all the cells correctly. The objective of this study is to provide an efficient method to identify all the uncapped cells in honey comb images. The paper is organized with the discussion of problem's background and evaluation first. Further, we give a thorough review of the existing work and explore a possible application. After that, we discussed the methodology adopted in literature. Overall, our investigation is thorough and extensive.",neural network honeybees,Detection,Colony Health & Acoustic Monitoring — Semi-Automatic CNN Comb Cell Counting,-,india
Toward Bee Behavioral Pattern Recognition on Hive Entrance Using YOLOv8,Sledevič & Plonis,2023,Video,2023,"YOLOv8 (detection, unique tracker ID per bee) + trajectory aggregation. Identifies behavioral states: orientation flights, fanning, guarding, robbing, swarming. Outlines complementary non-intrusive sensors (weight, thermal, vibro-acoustic). IEEE AIEEE 2023.",CNN & Variants,"Prediction of bee behavior by visual analysis of bee activity at the entrance provides valuable information on the condition of the hive. In this work, convolutional neural networks (CNN) are used to detect bees on the landing board of the hive. Types of bee behavior, such as foraging, guarding, and fanning, are presented in heat and path maps. YOLOv8m detects bees with a mean precision of 0.97% mAP@0.5 and 0.65% mAP@0.5:0.95, respectively. The intensive foraging, swarming, or guarding are behaviors to be most confused and therefore require inherent dataset collection and more detailed investigation.",bee behavior using AI,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Monitoring and Predictive Health Analytics,-,Lithuania
Toward Bee Motion Pattern Identification on Hive Landing Board,Sledevič & Abromavičius,2023,Video,,"Three YOLOv8 variants (nano/small/medium) trained on same dataset + ByteTrack (multi-object tracker) + path collection + heat/vector map generation + moving-average time-series smoothing. Quantifies colony activity under foraging load, pesticide exposure, disease, seasonal shifts. IEEE eStream 2023.",Object Detection / Segmentation,"The ability to predict bee behavior through visual analysis of their activity at the hive entrance provides valuable insight into the hive's condition. In this study, we present an algorithm for visual monitoring of bee behavior implemented based on open source tools. The convolutional neural network (CNN) is used to detect bees on the landing board of the hive. The YOLOv8m CNN detects bees with 0.97% mAP@0.5 and 0.65% mAP@0.5:0.95 mean average precision, respectively. Bee behavior types such as foraging, fanning, and washboarding are presented in heat and path maps. The speed patterns are used to identify the type of motion of the bees.","From Survey ""Machine Learning and Computer Vision Techniques in Continuous Beehive Monitoring Applications: A Survey""",Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Multi-YOLO Motion Pattern Analysis with Heatmaps,-,
Towards Automatic Honey Bee Flower-Patch Assays with Paint Marking Re-Identification,Meyers et al.,2023,Video,2022,"SLEAP (multi-animal pose estimation, ResNet50 backbone) + paint-mark colour/pattern for individual re-identification in field conditions. Demonstrates feasibility of paint marks as lightweight field alternative to barcodes. Validates re-ID accuracy vs lab conditions.",CNN & Variants,"In this paper, we show that paint markings are a feasible approach to automatize the analysis of behavioral assays involving honey bees in the field where marking has to be as lightweight as possible. We contribute a novel dataset for bees re-identification with paint-markings with 4392 images and 27 identities. Contrastive learning with a ResNet backbone and triplet loss led to identity representation features with almost perfect recognition in closed setting where identities are known in advance. Diverse experiments evaluate the capability to generalize to separate IDs, and show the impact of using different body parts for identification, such as using the unmarked abdomen only. In addition, we show the potential to fully automate the visit detection and provide preliminary results of compute time for future real-time deployment in the field on an edge device.",,Tracking & Pose Estimation,Individual Tracking & Re-identification — Paint-Marking Re-ID for Field Flower-Patch Assays,USA,USA
Varroa Destructor Classification Using Legendre–Fourier Moments with Different Color Spaces,Noriega-Escamilla et al.,2023,Image,2020,"Legendre-Fourier moments (novel feature descriptor combining Legendre polynomials + Fourier basis): rotation/scale/translation invariant. Multiple color spaces compared (RGB, HSV, YCbCr, Lab). + SVM classifier. Addresses mite position variability and color similarity problems.",Classical ML,"Bees play a critical role in pollination and food production, so their preservation is essential, particularly highlighting the importance of detecting diseases in bees early. The Varroa destructor mite is the primary factor contributing to increased viral infections that can lead to hive mortality. This study presents an innovative method for identifying Varroa destructors in honey bees using multichannel Legendre–Fourier moments. The descriptors derived from this approach possess distinctive characteristics, such as rotation and scale invariance, and noise resistance, allowing the representation of digital images with minimal descriptors. This characteristic is advantageous when analyzing images of living organisms that are not in a static posture. The proposal evaluates the algorithm’s efficiency using different color models, and to enhance its capacity, a subdivision of the VarroaDataset is used. This enhancement allows the algorithm to process additional information about the color and shape of the bee’s legs, wings, eyes, and mouth. To demonstrate the advantages of our approach, we compare it with other deep learning methods, in semantic segmentation techniques, such as DeepLabV3, and object detection techniques, such as YOLOv5. The results suggest that our proposal offers a promising means for the early detection of the Varroa destructor mite, which could be an essential pillar in the preservation of bees and, therefore, in food production.",,Classification,Varroa & Disease Detection — Novel Moment-Based Image Descriptor for Mite Classification,-,Mexico
A Color Moments-Based Method for Detection of Honey Bee Diseases,Micheli et al.,2024,Image,2018,"Color moments (mean, std, skewness per RGB channel) as compact visual features + SVM. Detects 5 diseases: Varroa, American foulbrood, European foulbrood, chalkbrood, small hive beetle. Low-cost feature extraction suitable for edge devices.",Classical ML,"Since the inception of natural life, honey bees have constituted one of the most significant natural elements of pollination. It is therefore imperative to ensure the continued health of bees in order to maintain the bee population. The health of honey bees is threatened by five main diseases. This study proposes a novel, lightweight method for the detection of the five most prevalent diseases affecting honey bees. The method is based on color moments and provides sensitive feature extraction for the detection of color changes in images of bees that have been intensively coloured. The mean, variance and skewness values were calculated for each of the red, green and blue channels from the bee images, resulting in the extraction of nine features. The extracted features were then classified using a support vector machine (SVM). It was observed that the majority of the obtained results exhibited superior performance compared to deep learning solutions.",,Classification,Varroa & Disease Detection — Classification,USA,Turkey
A Machine Learning Approach for Queen Bee Detection Through Remote Audio Sensing to Safeguard Honeybee Colonies,Barbisan et al.,2024,Audio,2024,"MFCC + STFT features → SVM and NN compared. Remote audio sensing for continuous, non-invasive queen presence monitoring. Extends Barbisan 2023 framework to remote deployment.",Hybrid / Multi-Model,"Honeybees play a pivotal role in maintaining global ecosystems and agricultural productivity through their indispensable contribution to crop pollination. However, the alarming rise in honeybee mortality, attributed to various stress factors including climate change, has highlighted the urgency of implementing effective monitoring strategies. Remote sensing of beehives emerges as a promising solution, with a focus on understanding and mitigating the impacts of these stressors. Differently from other approaches proposed in the literature, this study specifically explores the potential of lightweight machine learning models and the extraction of compressed feature to enable future deployment on microcontroller devices. The experimentation involves the application of support vector machines and neural network classifiers, considering the influence of variable audio chunk durations, the utilization of different hyperparameters and combining the audio recorded in several hives and available in different datasets.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Remote Audio Queen Detection (SVM/NN),California (focused on european honeybees there),Italy
A Machine Learning-Based Multiclass Classification Model for Bee Colony Anomaly Identification Using an IoT-Based Audio Monitoring System with Edge Computing,Chen et al.,2024,Audio,2024,"Audio feature extraction (MFCC, Mel spectrogram) + KNN classifier on edge computing device. Multi-class: queenless, virus-infected, pesticide-contaminated, normal. IoT sensor network with edge inference for low-latency monitoring.",Classical ML,"pproximately one-third of human food is derived from flowering plants, and 80% of those plants require honeybees for pollination. However, climate change is affecting bees as well as the beekeeping industry. Having continuous information on the condition of honey bee colonies would be helpful in studying new diseases such as colony collapse disorder, as well as in developing novel beekeeping tools to improve the health management of bee colonies. In this study, an audio monitoring system is established based on Internet of Thing (IoT) technology to record the sounds produced by bees. A colony status classification model coupled with a machine learning algorithm is used to analyze the sound data of bee colonies under various treatments to classify the colony conditions, such as queenless, virus-infected, and pesticide-contaminated. With an edge computing framework, the classification is done by the monitoring system, which greatly reduces data transmission delay and cloud computing burden. The field test results show that the accuracy and F1-score for the classification model for the beehive under various treatments reach 98.8% and 0.98, respectively. The proposed IoT-based audio monitoring system for beehives can assist beekeepers and users in managing bee colonies more effectively by providing automatic, accurate, and real-time monitoring information regarding the current colony conditions.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Monitoring and Predictive Health Analytics,-,Taiwan
Accurate Identification of Native Asian Honey Bee Populations by Population Genomics and Deep Learning,Liu et al.,2024,Tabular (Genomic Dataset),2025,TraceNet (custom CNN-based model for population genomics) applied to SNP (single nucleotide polymorphism) genomic data. Identifies and distinguishes Jilong (Xizang) Apis cerana populations from other geographic populations. Novel: uses genomic data not images.,Domain Specific / Specialized,"The Jilong Valley, situated in Rikaze, Xizang, China, is characterized by its complex topography and variable climatic conditions, providing a suitable habitat for Apis cerana Fabricius, 1793. To facilitate the conservation of germplasm resources and maintain genetic diversity, it is imperative to elucidate the population structure and lineage differentiation of A. cerana within this ecologically distinct region. In this study, we collected A. cerana specimens from 12 geographically disparate locations across various altitudinal gradients within the Jilong Valley, and also integrated publicly available sequencing data of A. cerana from various regions across mainland Asia. In total, our analysis encompassed sequencing data from 296 individuals. Population structure analyses based on SNP data revealed that A. cerana in Jilong represents a genetically distinct population that differs markedly from other regional A. cerana populations in terms of genetic lineage, although its subspecies identity remains to be confirmed. Through screening based on FST values, we identified SNP loci that contribute significantly to distinguishing between Jilong and non-Jilong A. cerana. Using these loci, the convolutional neural network model TraceNet was trained, which demonstrated specific recognition capabilities for Jilong versus non-Jilong A. cerana. This further confirmed the universality and efficiency of TraceNet in identifying honey bee lineages. These findings contribute valuable insights for the identification and conservation of A. cerana germplasm resources in specific geographical regions.",,Classification,Species & Subspecies Classification — Genomic Population Deep Learning Classification,china,China
